fecha_operacion,intervalo,hora,fecha_hora,codigo,serie,mw
2026-06-18,86,21:30,2026-06-18 21:30:00,SANTA CRUZ,Santa Cruz,
2026-06-18,87,21:45,2026-06-18 21:45:00,SANTA CRUZ,Santa Cruz,
2026-06-18,88,22:00,2026-06-18 22:00:00,SANTA CRUZ,Santa Cruz,
2026-06-18,89,22:15,2026-06-18 22:15:00,SANTA CRUZ,Santa Cruz,
2026-06-18,90,22:30,2026-06-18 22:30:00,SANTA CRUZ,Santa Cruz,
2026-06-18,91,22:45,2026-06-18 22:45:00,SANTA CRUZ,Santa Cruz,
2026-06-18,92,23:00,2026-06-18 23:00:00,SANTA CRUZ,Santa Cruz,
2026-06-18,93,23:15,2026-06-18 23:15:00,SANTA CRUZ,Santa Cruz,
2026-06-18,94,23:30,2026-06-18 23:30:00,SANTA CRUZ,Santa Cruz,
2026-06-18,95,23:45,2026-06-18 23:45:00,SANTA CRUZ,Santa Cruz,
2026-06-18,96,24:00,2026-06-19 00:00:00,SANTA CRUZ,Santa Cruz,
2026-06-18,1,00:15,2026-06-18 00:15:00,LA PAZ,La Paz,191.41
2026-06-18,2,00:30,2026-06-18 00:30:00,LA PAZ,La Paz,186.26
2026-06-18,3,00:45,2026-06-18 00:45:00,LA PAZ,La Paz,180.13
2026-06-18,4,01:00,2026-06-18 01:00:00,LA PAZ,La Paz,174.31
2026-06-18,5,01:15,2026-06-18 01:15:00,LA PAZ,La Paz,168.21
2026-06-18,6,01:30,2026-06-18 01:30:00,LA PAZ,La Paz,164.87
2026-06-18,7,01:45,2026-06-18 01:45:00,LA PAZ,La Paz,161.91
2026-06-18,8,02:00,2026-06-18 02:00:00,LA PAZ,La Paz,159.79
2026-06-18,9,02:15,2026-06-18 02:15:00,LA PAZ,La Paz,156.51
2026-06-18,10,02:30,2026-06-18 02:30:00,LA PAZ,La Paz,155.35
2026-06-18,11,02:45,2026-06-18 02:45:00,LA PAZ,La Paz,153.97
2026-06-18,12,03:00,2026-06-18 03:00:00,LA PAZ,La Paz,152.61
2026-06-18,13,03:15,2026-06-18 03:15:00,LA PAZ,La Paz,151.5
2026-06-18,14,03:30,2026-06-18 03:30:00,LA PAZ,La Paz,151.12
2026-06-18,15,03:45,2026-06-18 03:45:00,LA PAZ,La Paz,150.82
