fecha_hora_original,fecha_hora_bolivia,fecha,hora,hz,estado_rango
2026-06-18T08:59:19Z,2026-06-18T08:59:19-04:00,18/06/2026,08:59:19,50.059,Normal
2026-06-18T08:59:20Z,2026-06-18T08:59:20-04:00,18/06/2026,08:59:20,50.054,Normal
2026-06-18T08:59:21Z,2026-06-18T08:59:21-04:00,18/06/2026,08:59:21,50.051,Normal
2026-06-18T08:59:22Z,2026-06-18T08:59:22-04:00,18/06/2026,08:59:22,50.051,Normal
2026-06-18T08:59:23Z,2026-06-18T08:59:23-04:00,18/06/2026,08:59:23,50.053,Normal
2026-06-18T08:59:24Z,2026-06-18T08:59:24-04:00,18/06/2026,08:59:24,50.057,Normal
2026-06-18T08:59:25Z,2026-06-18T08:59:25-04:00,18/06/2026,08:59:25,50.062,Normal
2026-06-18T08:59:26Z,2026-06-18T08:59:26-04:00,18/06/2026,08:59:26,50.069,Normal
2026-06-18T08:59:27Z,2026-06-18T08:59:27-04:00,18/06/2026,08:59:27,50.073,Normal
2026-06-18T08:59:28Z,2026-06-18T08:59:28-04:00,18/06/2026,08:59:28,50.073,Normal
2026-06-18T08:59:29Z,2026-06-18T08:59:29-04:00,18/06/2026,08:59:29,50.072,Normal
2026-06-18T08:59:30Z,2026-06-18T08:59:30-04:00,18/06/2026,08:59:30,50.072,Normal
2026-06-18T08:59:31Z,2026-06-18T08:59:31-04:00,18/06/2026,08:59:31,50.072,Normal
2026-06-18T08:59:32Z,2026-06-18T08:59:32-04:00,18/06/2026,08:59:32,50.073,Normal
2026-06-18T08:59:33Z,2026-06-18T08:59:33-04:00,18/06/2026,08:59:33,50.073,Normal
2026-06-18T08:59:34Z,2026-06-18T08:59:34-04:00,18/06/2026,08:59:34,50.072,Normal
2026-06-18T08:59:35Z,2026-06-18T08:59:35-04:00,18/06/2026,08:59:35,50.068,Normal
2026-06-18T08:59:36Z,2026-06-18T08:59:36-04:00,18/06/2026,08:59:36,50.063,Normal
2026-06-18T08:59:37Z,2026-06-18T08:59:37-04:00,18/06/2026,08:59:37,50.059,Normal
2026-06-18T08:59:38Z,2026-06-18T08:59:38-04:00,18/06/2026,08:59:38,50.056,Normal
2026-06-18T08:59:39Z,2026-06-18T08:59:39-04:00,18/06/2026,08:59:39,50.055,Normal
2026-06-18T08:59:40Z,2026-06-18T08:59:40-04:00,18/06/2026,08:59:40,50.053,Normal
2026-06-18T08:59:41Z,2026-06-18T08:59:41-04:00,18/06/2026,08:59:41,50.05,Normal
2026-06-18T08:59:42Z,2026-06-18T08:59:42-04:00,18/06/2026,08:59:42,50.048,Normal
2026-06-18T08:59:43Z,2026-06-18T08:59:43-04:00,18/06/2026,08:59:43,50.048,Normal
2026-06-18T08:59:44Z,2026-06-18T08:59:44-04:00,18/06/2026,08:59:44,50.047,Normal
2026-06-18T08:59:45Z,2026-06-18T08:59:45-04:00,18/06/2026,08:59:45,50.048,Normal
2026-06-18T08:59:46Z,2026-06-18T08:59:46-04:00,18/06/2026,08:59:46,50.05,Normal
2026-06-18T08:59:47Z,2026-06-18T08:59:47-04:00,18/06/2026,08:59:47,50.053,Normal
2026-06-18T08:59:48Z,2026-06-18T08:59:48-04:00,18/06/2026,08:59:48,50.056,Normal
2026-06-18T08:59:49Z,2026-06-18T08:59:49-04:00,18/06/2026,08:59:49,50.058,Normal
2026-06-18T08:59:50Z,2026-06-18T08:59:50-04:00,18/06/2026,08:59:50,50.058,Normal
2026-06-18T08:59:51Z,2026-06-18T08:59:51-04:00,18/06/2026,08:59:51,50.058,Normal
2026-06-18T08:59:52Z,2026-06-18T08:59:52-04:00,18/06/2026,08:59:52,50.055,Normal
2026-06-18T08:59:53Z,2026-06-18T08:59:53-04:00,18/06/2026,08:59:53,50.05,Normal
2026-06-18T08:59:54Z,2026-06-18T08:59:54-04:00,18/06/2026,08:59:54,50.045,Normal
2026-06-18T08:59:55Z,2026-06-18T08:59:55-04:00,18/06/2026,08:59:55,50.044,Normal
2026-06-18T08:59:56Z,2026-06-18T08:59:56-04:00,18/06/2026,08:59:56,50.043,Normal
