fecha_hora_original,fecha_hora_bolivia,fecha,hora,hz,estado_rango
2026-06-18T10:39:15Z,2026-06-18T10:39:15-04:00,18/06/2026,10:39:15,50.006,Normal
2026-06-18T10:39:16Z,2026-06-18T10:39:16-04:00,18/06/2026,10:39:16,49.998,Normal
2026-06-18T10:39:17Z,2026-06-18T10:39:17-04:00,18/06/2026,10:39:17,49.993,Normal
2026-06-18T10:39:18Z,2026-06-18T10:39:18-04:00,18/06/2026,10:39:18,49.991,Normal
2026-06-18T10:39:19Z,2026-06-18T10:39:19-04:00,18/06/2026,10:39:19,49.986,Normal
2026-06-18T10:39:21Z,2026-06-18T10:39:21-04:00,18/06/2026,10:39:21,49.974,Normal
2026-06-18T10:39:22Z,2026-06-18T10:39:22-04:00,18/06/2026,10:39:22,49.966,Normal
2026-06-18T10:39:23Z,2026-06-18T10:39:23-04:00,18/06/2026,10:39:23,49.96,Normal
2026-06-18T10:39:24Z,2026-06-18T10:39:24-04:00,18/06/2026,10:39:24,49.956,Normal
2026-06-18T10:39:25Z,2026-06-18T10:39:25-04:00,18/06/2026,10:39:25,49.956,Normal
2026-06-18T10:39:26Z,2026-06-18T10:39:26-04:00,18/06/2026,10:39:26,49.951,Normal
2026-06-18T10:39:27Z,2026-06-18T10:39:27-04:00,18/06/2026,10:39:27,49.951,Normal
2026-06-18T10:39:28Z,2026-06-18T10:39:28-04:00,18/06/2026,10:39:28,49.964,Normal
2026-06-18T10:39:29Z,2026-06-18T10:39:29-04:00,18/06/2026,10:39:29,49.984,Normal
2026-06-18T10:39:30Z,2026-06-18T10:39:30-04:00,18/06/2026,10:39:30,49.999,Normal
2026-06-18T10:39:31Z,2026-06-18T10:39:31-04:00,18/06/2026,10:39:31,50.009,Normal
2026-06-18T10:39:32Z,2026-06-18T10:39:32-04:00,18/06/2026,10:39:32,50.02,Normal
2026-06-18T10:39:33Z,2026-06-18T10:39:33-04:00,18/06/2026,10:39:33,50.029,Normal
2026-06-18T10:39:34Z,2026-06-18T10:39:34-04:00,18/06/2026,10:39:34,50.033,Normal
2026-06-18T10:39:35Z,2026-06-18T10:39:35-04:00,18/06/2026,10:39:35,50.034,Normal
2026-06-18T10:39:36Z,2026-06-18T10:39:36-04:00,18/06/2026,10:39:36,50.034,Normal
2026-06-18T10:39:37Z,2026-06-18T10:39:37-04:00,18/06/2026,10:39:37,50.037,Normal
2026-06-18T10:39:38Z,2026-06-18T10:39:38-04:00,18/06/2026,10:39:38,50.035,Normal
2026-06-18T10:39:39Z,2026-06-18T10:39:39-04:00,18/06/2026,10:39:39,50.035,Normal
2026-06-18T10:39:40Z,2026-06-18T10:39:40-04:00,18/06/2026,10:39:40,50.031,Normal
2026-06-18T10:39:41Z,2026-06-18T10:39:41-04:00,18/06/2026,10:39:41,50.023,Normal
2026-06-18T10:39:42Z,2026-06-18T10:39:42-04:00,18/06/2026,10:39:42,50.016,Normal
2026-06-18T10:39:43Z,2026-06-18T10:39:43-04:00,18/06/2026,10:39:43,50.008,Normal
2026-06-18T10:39:44Z,2026-06-18T10:39:44-04:00,18/06/2026,10:39:44,50.001,Normal
2026-06-18T10:39:45Z,2026-06-18T10:39:45-04:00,18/06/2026,10:39:45,49.993,Normal
2026-06-18T10:39:46Z,2026-06-18T10:39:46-04:00,18/06/2026,10:39:46,49.988,Normal
2026-06-18T10:39:47Z,2026-06-18T10:39:47-04:00,18/06/2026,10:39:47,49.988,Normal
2026-06-18T10:39:48Z,2026-06-18T10:39:48-04:00,18/06/2026,10:39:48,49.994,Normal
2026-06-18T10:39:49Z,2026-06-18T10:39:49-04:00,18/06/2026,10:39:49,50.006,Normal
2026-06-18T10:39:50Z,2026-06-18T10:39:50-04:00,18/06/2026,10:39:50,50.017,Normal
2026-06-18T10:39:51Z,2026-06-18T10:39:51-04:00,18/06/2026,10:39:51,50.024,Normal
2026-06-18T10:39:52Z,2026-06-18T10:39:52-04:00,18/06/2026,10:39:52,50.027,Normal
2026-06-18T10:39:53Z,2026-06-18T10:39:53-04:00,18/06/2026,10:39:53,50.029,Normal
2026-06-18T10:39:54Z,2026-06-18T10:39:54-04:00,18/06/2026,10:39:54,50.027,Normal
2026-06-18T10:39:55Z,2026-06-18T10:39:55-04:00,18/06/2026,10:39:55,50.025,Normal
2026-06-18T10:39:56Z,2026-06-18T10:39:56-04:00,18/06/2026,10:39:56,50.023,Normal
